"Y
e
a
r","M
o
n
t
h","D
a
y",MaxTemp_(degF),MinTemp_(degF),"Rain_MeltedSnow_Etc_
(in)",Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2015,6,1,58.0,51.0,0.72,0.00,0.00
2015,6,2,55.0,50.0,0.37,0.00,0.00
2015,6,3,70.0,52.0,0.00,0.00,0.00
2015,6,4,65.0,54.0,0.00,0.00,0.00
2015,6,5,70.0,55.0,0.13,0.00,0.00
2015,6,6,76.0,60.0,0.19,0.00,0.00
2015,6,7,74.0,55.0,0.00,0.00,0.00
2015,6,8,79.0,63.0,0.06,0.00,0.00
2015,6,9,83.0,68.0,0.01,0.00,0.00
2015,6,10,82.0,65.0,0.00,0.00,0.00
2015,6,11,89.0,72.0,0.00,0.00,0.00
2015,6,12,88.0,73.0,0.00,0.00,0.00
2015,6,13,86.0,72.0,0.00,0.00,0.00
2015,6,14,88.0,66.0,0.36,0.00,0.00
2015,6,15,83.0,64.0,0.57,0.00,0.00
2015,6,16,79.0,65.0,0.27,0.00,0.00
2015,6,17,82.0,66.0,0.00,0.00,0.00
2015,6,18,71.0,64.0,0.00,0.00,0.00
2015,6,19,87.0,68.0,0.00,0.00,0.00
2015,6,20,75.0,64.0,0.00,0.00,0.00
2015,6,21,88.0,71.0,0.64,0.00,0.00
2015,6,22,87.0,70.0,0.00,0.00,0.00
2015,6,23,90.0,75.0,0.02,0.00,0.00
2015,6,24,84.0,68.0,0.00,0.00,0.00
2015,6,25,83.0,65.0,0.00,0.00,0.00
2015,6,26,81.0,69.0,0.00,0.00,0.00
2015,6,27,71.0,58.0,1.12,0.00,0.00
2015,6,28,73.0,62.0,0.29,0.00,0.00
2015,6,29,76.0,63.0,0.00,0.00,0.00
2015,6,30,82.0,68.0,0.04,0.00,0.00
